Source;Threads;Input;Result;Output
parallel_percentage;4;10x5M;0.801518;ok
parallel_percentage;8;10x1M;0.345781;ok
parallel_percentage;8;10x2M;0.391757;ok
parallel_percentage;8;10x5M;0.705996;ok
parallel_percentage;1;10x1M;0.845216;ok
parallel_percentage;1;10x2M;0.861183;ok
parallel_percentage;1;10x5M;0.962575;ok
parallel_percentage;2;10x1M;0.740528;ok
parallel_percentage;2;10x2M;0.770471;ok
parallel_percentage;2;10x5M;0.930189;ok
parallel_percentage;4;10x1M;0.467083;ok
parallel_percentage;4;10x2M;0.529723;ok
parallel_percentage;4;10x5M;0.793668;ok
parallel_percentage;8;10x1M;0.437077;ok
parallel_percentage;8;10x2M;0.405827;ok
parallel_percentage;8;10x5M;0.705346;ok
parallel_percentage;1;10x1M;0.845184;ok
parallel_percentage;1;10x2M;0.862183;ok
parallel_percentage;1;10x5M;0.962643;ok
parallel_percentage;2;10x1M;0.735961;ok
parallel_percentage;2;10x2M;0.775766;ok
parallel_percentage;2;10x5M;0.930066;ok
parallel_percentage;4;10x1M;0.461179;ok
parallel_percentage;4;10x2M;0.525080;ok
parallel_percentage;4;10x5M;0.797895;ok
parallel_percentage;8;10x1M;0.464354;ok
parallel_percentage;8;10x2M;0.387731;ok
parallel_percentage;8;10x5M;0.705301;ok
